iter	Passed	Remaining
0	2	2597
1	5	2734
2	7	2562
3	8	2214
4	10	2159
5	13	2203
6	14	2114
7	16	2091
8	18	2075
9	22	2192
10	24	2173
11	26	2154
12	28	2131
13	30	2113
14	31	2097
15	33	2035
16	35	2040
17	37	2035
18	39	2027
19	41	2044
20	44	2054
21	46	2080
22	49	2096
23	50	2055
24	52	2059
25	55	2082
26	57	2082
27	59	2056
28	60	2038
29	61	1999
30	63	1998
31	64	1963
32	67	1969
33	69	1966
34	71	1970
35	72	1942
36	74	1937
37	76	1947
38	79	1955
39	81	1953
40	83	1950
41	85	1954
42	88	1969
43	90	1971
44	92	1968
45	94	1969
46	97	1968
47	99	1966
48	101	1968
49	103	1969
50	105	1969
51	107	1968
52	109	1964
53	111	1961
54	114	1960
55	115	1949
56	117	1947
57	120	1956
58	122	1957
59	124	1955
60	126	1952
61	129	1954
62	132	1977
63	136	1999
64	139	2000
65	141	2005
66	143	2001
67	145	1996
68	148	2008
69	151	2007
70	152	2001
71	154	1995
72	157	1999
73	159	1994
74	163	2019
75	166	2020
76	168	2019
77	169	2003
78	171	2001
79	176	2032
80	177	2016
81	179	2013
82	182	2010
83	184	2007
84	186	2006
85	188	1999
86	191	2006
87	193	2003
88	195	1998
89	197	1993
90	198	1978
91	200	1976
92	205	2003
93	210	2027
94	214	2045
95	219	2067
96	224	2086
97	230	2117
98	235	2145
99	238	2144
100	240	2141
101	242	2138
102	244	2132
103	249	2150
104	251	2146
105	254	2142
106	256	2136
107	256	2122
108	258	2115
109	260	2108
110	263	2111
111	265	2106
112	267	2101
113	269	2096
114	271	2090
115	272	2078
116	275	2079
117	277	2073
118	279	2067
119	281	2060
120	282	2055
121	284	2048
122	286	2043
123	288	2039
124	291	2037
125	292	2032
126	294	2026
127	296	2022
128	298	2016
129	300	2010
130	302	2005
131	304	2001
132	305	1992
133	307	1986
134	309	1981
135	311	1976
136	312	1971
137	314	1965
138	316	1961
139	319	1960
140	320	1955
141	323	1952
142	325	1949
143	327	1946
144	328	1936
145	330	1932
146	333	1932
147	335	1930
148	337	1926
149	339	1922
150	341	1917
151	343	1913
152	344	1908
153	347	1907
154	349	1904
155	351	1901
156	354	1901
157	355	1894
158	357	1890
159	359	1887
160	362	1890
161	365	1889
162	367	1886
163	369	1883
164	371	1881
165	373	1878
166	376	1877
167	377	1870
168	379	1867
169	382	1866
170	384	1864
171	386	1861
172	388	1857
173	391	1856
174	393	1855
175	395	1852
176	397	1850
177	399	1844
178	401	1840
179	403	1836
180	406	1839
181	408	1838
182	411	1837
183	413	1835
184	415	1831
185	418	1829
186	420	1828
187	423	1827
188	425	1824
189	427	1822
190	430	1821
191	431	1817
192	434	1816
193	436	1814
194	439	1813
195	441	1811
196	443	1807
197	445	1804
198	447	1802
199	450	1802
200	453	1800
201	455	1799
202	457	1796
203	459	1793
204	461	1789
205	464	1788
206	465	1785
207	467	1781
208	469	1777
209	471	1773
210	473	1769
211	475	1765
212	477	1763
213	479	1761
214	481	1758
215	483	1754
216	485	1750
217	487	1747
218	488	1743
219	490	1739
220	493	1739
221	495	1736
222	497	1732
223	499	1728
224	500	1725
225	502	1721
226	504	1717
227	506	1716
228	509	1713
229	510	1710
230	512	1707
231	514	1704
232	517	1702
233	519	1699
234	522	1699
235	524	1698
236	526	1695
237	528	1692
238	530	1689
239	532	1686
240	534	1684
241	537	1684
242	539	1681
243	542	1679
244	544	1677
245	546	1675
246	548	1672
247	551	1673
248	554	1671
249	556	1669
250	558	1666
251	560	1663
252	562	1661
253	565	1660
254	568	1659
255	570	1657
256	572	1656
257	574	1652
258	577	1651
259	579	1649
260	580	1644
261	583	1643
262	585	1641
263	588	1640
264	590	1637
265	595	1642
266	598	1642
267	601	1642
268	604	1642
269	607	1641
270	610	1641
271	611	1637
272	614	1635
273	617	1635
274	620	1634
275	625	1639
276	627	1637
277	629	1635
278	631	1632
279	634	1630
280	636	1629
281	638	1624
282	640	1622
283	642	1619
284	644	1617
285	646	1615
286	649	1613
287	651	1611
288	654	1610
289	656	1608
290	658	1603
291	660	1601
292	662	1599
293	663	1594
294	665	1591
295	667	1588
296	670	1588
297	674	1589
298	677	1587
299	681	1591
300	684	1588
301	686	1587
302	689	1585
303	691	1583
304	695	1584
305	697	1581
306	698	1576
307	702	1578
308	705	1577
309	709	1579
310	712	1577
311	714	1575
312	716	1572
313	718	1569
314	720	1566
315	723	1566
316	726	1564
317	728	1561
318	730	1558
319	731	1555
320	733	1552
321	737	1552
322	738	1547
323	740	1544
324	742	1541
325	744	1539
326	746	1535
327	748	1532
328	751	1533
329	753	1530
330	755	1527
331	757	1525
332	759	1521
333	761	1518
